,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
387,3,1,4,3,SR,-0.2,0.1,0.6129032258064516
388,4,1,5,3,SR,-0.2,0.1,0.7096774193548387
389,5,1,6,3,SR,-0.2,0.1,0.5806451612903226
390,6,1,7,3,SR,-0.2,0.1,0.6129032258064516
391,7,1,8,3,SR,-0.2,0.1,0.6774193548387096
392,8,2,1,3,SR,-0.2,0.1,0.5806451612903226
393,9,2,2,3,SR,-0.2,0.1,0.5806451612903226
394,10,2,3,3,SR,-0.2,0.1,0.5161290322580645
395,11,2,4,3,SR,-0.2,0.1,0.6129032258064516
396,12,2,5,3,SR,-0.2,0.1,0.6129032258064516
397,13,2,6,3,SR,-0.2,0.1,0.6451612903225806
398,14,2,7,3,SR,-0.2,0.1,0.5806451612903226
399,15,2,8,3,SR,-0.2,0.1,0.6774193548387096
400,16,3,1,3,SR,-0.2,0.1,0.7096774193548387
401,17,3,2,3,SR,-0.2,0.1,0.5161290322580645
402,18,3,3,3,SR,-0.2,0.1,0.4838709677419355
403,19,3,4,3,SR,-0.2,0.1,0.5483870967741935
404,20,3,5,3,SR,-0.2,0.1,0.3870967741935484
405,21,3,6,3,SR,-0.2,0.1,0.6451612903225806
406,22,3,7,3,SR,-0.2,0.1,0.4838709677419355
407,23,3,8,3,SR,-0.2,0.1,0.5161290322580645
408,24,4,1,3,SR,-0.2,0.1,0.6774193548387096
409,25,4,2,3,SR,-0.2,0.1,0.5161290322580645
410,26,4,3,3,SR,-0.2,0.1,0.6774193548387096
411,27,4,4,3,SR,-0.2,0.1,0.5161290322580645
412,28,4,5,3,SR,-0.2,0.1,0.41935483870967744
413,29,4,6,3,SR,-0.2,0.1,0.4838709677419355
414,30,4,7,3,SR,-0.2,0.1,0.4838709677419355
415,31,4,8,3,SR,-0.2,0.1,0.7096774193548387
416,32,5,1,3,SR,-0.2,0.1,0.4838709677419355
417,33,5,2,3,SR,-0.2,0.1,0.4838709677419355
418,34,5,3,3,SR,-0.2,0.1,0.5483870967741935
419,35,5,4,3,SR,-0.2,0.1,0.5483870967741935
420,36,5,5,3,SR,-0.2,0.1,0.4838709677419355
421,37,5,6,3,SR,-0.2,0.1,0.41935483870967744
422,38,5,7,3,SR,-0.2,0.1,0.5161290322580645
423,39,5,8,3,SR,-0.2,0.1,0.6451612903225806
424,40,6,1,3,SR,-0.2,0.1,0.41935483870967744
425,41,6,2,3,SR,-0.2,0.1,0.5806451612903226
426,42,6,3,3,SR,-0.2,0.1,0.5806451612903226
427,43,6,4,3,SR,-0.2,0.1,0.6129032258064516
428,44,6,5,3,SR,-0.2,0.1,0.6774193548387096
429,45,6,6,3,SR,-0.2,0.1,0.5161290322580645
430,46,6,7,3,SR,-0.2,0.1,0.45161290322580644
431,47,6,8,3,SR,-0.2,0.1,0.6129032258064516
432,48,7,1,3,SR,-0.2,0.1,0.7419354838709677
433,49,7,2,3,SR,-0.2,0.1,0.45161290322580644
434,50,7,3,3,SR,-0.2,0.1,0.6129032258064516
435,51,7,4,3,SR,-0.2,0.1,0.41935483870967744
436,52,7,5,3,SR,-0.2,0.1,0.5806451612903226
437,53,7,6,3,SR,-0.2,0.1,0.4838709677419355
438,54,7,7,3,SR,-0.2,0.1,0.5161290322580645
439,55,7,8,3,SR,-0.2,0.1,0.5161290322580645
440,56,8,1,3,SR,-0.2,0.1,0.7419354838709677
441,57,8,2,3,SR,-0.2,0.1,0.6451612903225806
442,58,8,3,3,SR,-0.2,0.1,0.5806451612903226
443,59,8,4,3,SR,-0.2,0.1,0.4838709677419355
444,60,8,5,3,SR,-0.2,0.1,0.6129032258064516
445,61,8,6,3,SR,-0.2,0.1,0.5161290322580645
446,62,8,7,3,SR,-0.2,0.1,0.4838709677419355
447,63,8,8,3,SR,-0.2,0.1,0.45161290322580644
